sID,group,delay,intercept,slope,clean_range,n_good,calibErr,kLE,kRE,beforeRefit_kLE,beforeRefit_kRE,U2,U3,sigma,AE,FE,kAE,kFE,uAE,uFE,step1attenuationErr,step2normalizationErr,softmaxErr
AM_RE_L_YP_39,AM,1.24133394315532,0.726309058278445,2.31051554980803,0.5,17,0.00246056569929464,1,0.250879574996592,1,0.264220139531322,4.00086743836358e-08,6.1051968905772,0.919944149889292,right,left,0.250879574996592,1,6.1051968905772,4.00086743836358e-08,0.219621803453145,0.214580145581313,0.214589063448119
BD_G_AU_47,BD,1.09369641895516,0.0761699678017262,1.19692343131143,0.5,28,0.00301426997154366,0.858423528368351,1,0.673557003549885,1,0.900116862787007,0.615161074108462,1.34401488130723,left,right,0.858423528368351,1,0.900116862787007,0.615161074108462,0.184714762771984,0.0524231111345505,0.0521503647054603
BD_G_BK_33,BD,0.660497179868138,0.318120320829153,1.55858339153377,0.5,28,0.00100340491948604,1,0.905403561414381,1,0.892693559903296,0.488305311617935,0.963427154764773,0.866296856488838,right,left,0.905403561414381,1,0.963427154764773,0.488305311617935,0.160554560349438,0.106554461274464,0.106573333658392
BD_LE_G_ES_62,BD,0.636391591322071,0.0911447926900286,1.43802961640063,0.5,28,0.000707832196896271,0.141743244611228,1,0.247900938247209,1,4.56990604676746,1.34415499380358e-07,1.0084322233927,left,right,0.141743244611228,1,4.56990604676746,1.34415499380358e-07,0.0759582021679422,0.0676186659830826,0.0667890232342476
BD_LE_L_EI_19,BD,0.940877352448469,0.212366235866431,1.25666138118415,0.5,28,0.00154986724047045,0.731408558539391,1,0.941012431476144,1,0.00178753283444743,0.000335378169368648,1.56253232516396,left,right,0.731408558539391,1,0.00178753283444743,0.000335378169368648,0.215871867121101,0.0818609203057939,0.0870462873060994
BD_LE_L_KC_19,BD,0.235716821328574,-0.00739363975043825,0.933193663116074,0.5,28,0.000616110320658084,0.31729152792022,1,0.370505481090711,1,0.311750660587325,0.813076124405048,1.10020623332604,left,right,0.31729152792022,1,0.311750660587325,0.813076124405048,0.0709885971058718,0.0449752583158836,0.0449339067189676
BD_LE_L_YH_47,BD,0.659311464565993,-0.158203721749675,1.3983597883249,0.5,28,0.000819656231603477,0.438415883656635,1,0.556027207740671,1,1.57226230484901,1.28504825342644e-06,1.40612377683784,left,right,0.438415883656635,1,1.57226230484901,1.28504825342644e-06,0.258787074008576,0.161111473758192,0.161520487417727
BD_LE_L_YV_15,BD,0.458315198522232,0.0259369403466281,1.0059641663815,0.5,28,0.00024627231165915,1,0.92152954269844,1,0.983413444924076,0.0419447370024637,2.95470485879514,1.19557223939022,right,left,0.92152954269844,1,2.95470485879514,0.0419447370024637,0.225798853336209,0.0500874640193011,0.0503334515617058
BD_RE_L_WI_56,BD,0.500501193849522,0.0364451254906442,1.33924336138354,0.5,28,0.00320912475381334,1,0.855724490111342,0.979994713260075,1,1.48130566357152e-07,3.61969072955954,1.45558581026867,right,left,0.855724490111342,1,3.61969072955954,1.48130566357152e-07,0.413056434702155,0.137582881503394,0.137248234564215
NS_G_AU_22,NS,0.401703930306034,0.0214368047915041,0.97740602342859,0.5,28,0.000212436335252568,0.940449992686901,1,0.97559861645367,1,0.609833586568588,1.21289703916391,1.07881654072149,left,right,0.940449992686901,1,0.609833586568588,1.21289703916391,0.178325790603374,0.0269208381592461,0.0271338230825519
NS_G_BZ_66,NS,0.836538168316938,-0.0297002128639375,1.16709309942759,0.5,28,0.000662555733206566,0.963091099479186,1,0.923813203556957,1,0.709376440758226,0.467073545144549,1.39219143646797,left,right,0.963091099479186,1,0.709376440758226,0.467073545144549,0.258196426115527,0.0776492083630191,0.0775344880678882
NS_G_HK_50,NS,0.633782800810459,0.326742032003395,1.66158611617098,0.5,28,0.00283101104283841,0.862593912521948,1,0.754031146463793,1,0.436167032540986,1.6502113739645,0.720257962657373,left,right,0.862593912521948,1,0.436167032540986,1.6502113739645,0.215759056604334,0.165420638024886,0.167584497884796
