sID,group,softmax,meanJoystick,simpleAverage,weightedAverage,softmax_tau,ds2006,ds2006_tau,bmg2007,simpleMax,rivalry,dualMeanNull
AM_LE_G_JQ_48,AM,0.0431047347129655,0.1247242349585,0.0689604009506504,0.0456451116437355,0.047256994152475,0.316603033865936,0.316755329742008,0.0497200862557513,0.106896201019417,0.0300025205226075,0.0363062029523436
AM_LE_G_YK_67,AM,0.268780774935124,0.388021346818165,0.414185132411877,0.385290860405021,0.285471790951528,0.949488933530098,0.922801459438132,0.283647471004465,0.320714864927097,0.260016132364818,0.147833170362876
AM_LE_L_CJ_38,AM,0.062774370314922,0.163167423223536,0.0945292857353927,0.0690873369934453,0.0612760645878135,0.38319981466673,0.381557129527505,0.0724315284218376,0.118721796303059,0.0339554554032304,0.0374796322671689
AM_LE_L_HQ_72,AM,0.116236388299537,0.263502464825786,0.17786993101008,0.143996842711095,0.115693211524142,0.501796933127693,0.498715910240924,0.144081211335074,0.168083656879963,0.0732866235840504,0.0576796715710973
AM_LE_L_IE_68,AM,0.150466063220035,0.274061116182104,0.184861590529153,0.177157329927575,0.147376720544046,0.526401230366227,0.522732325548208,0.154881658849859,0.182661309205473,0.0818066227985441,0.0572048260493033
AM_LE_L_IQ_63,AM,0.0703369753914658,0.169713758752757,0.103429184209279,0.0707087698965929,0.0695572622650912,0.31236713010904,0.311828865418839,0.0857533900682856,0.161625730631831,0.0373895497202194,0.0411268968806436
AM_LE_L_WA_43,AM,0.0583994226952738,0.146955120823609,0.113834029377453,0.106708077720457,0.0695584229356844,0.518073963993086,0.514259980314296,0.0632045483163409,0.0703603446907309,0.0416054363504047,0.0414899899897946
AM_RE_G_RF_20,AM,0.0534235212950235,0.0373220285999533,0.125326980784648,0.115837599085023,0.0808180315754394,0.590179527748138,0.587644595350649,0.0573116201779889,0.0720787175712663,0.0691259854251962,0.0373220285999533
AM_RE_L_BH_69,AM,0.103427618153901,0.240003407459686,0.161725198526069,0.104825358398804,0.102934849515859,0.365168503819399,0.363891102135479,0.164550442835596,0.220014952186534,0.0636693643464894,0.047586898980927
AM_RE_L_FZ_43,AM,0.0954342058076369,0.284725694014951,0.196926508795317,0.108288619997545,0.0952366683768385,0.429760905220593,0.430573825172659,0.132272236442312,0.221181376277663,0.0855749893633871,0.0722743973135524
AM_RE_L_IA_22,AM,0.132384371232652,0.298577783953226,0.189407422229732,0.160844099098107,0.132400114729508,0.51894807446309,0.516037391886781,0.156402286275328,0.21436190765272,0.081882893179519,0.0712701769675114
AM_RE_L_KR_58,AM,0.0881408428612401,0.184393491529908,0.137496609186375,0.0913712328789887,0.0897564004775741,0.369080350112101,0.367992992147894,0.105675036752519,0.179356258427981,0.0591871159371025,0.0478209975099977
AM_RE_L_RK_15,AM,0.0964403202419485,0.185131703312821,0.122480827052971,0.12112945527027,0.100721086353258,0.48546999649017,0.484648670034901,0.0950443190310639,0.107684822401115,0.0536087882068557,0.0611448442123255
AM_RE_L_YP_39,AM,0.215878046078256,0.354566929999705,0.280488463370073,0.223969085479989,0.211925967462469,0.541503156479199,0.546794088973998,0.242733274915827,0.297046484235352,0.167292777711563,0.118803667127057
BD_G_AU_47,BD,0.0508215567800475,0.104247954822738,0.0578502124696883,0.0570513204855431,0.056435932855746,0.311824895432669,0.310355876642133,0.0550703057365811,0.0938490282079792,0.038049086333566,0.0321342671907158
BD_G_BK_33,BD,0.106720552198156,0.249513602331969,0.229414692027088,0.227893170969595,0.122164833566944,0.733391996376723,0.730348280159038,0.111587487639364,0.124012736525485,0.0940697684717339,0.0627052588839168
BD_LE_G_ES_62,BD,0.0664734259077648,0.186500465568911,0.118628776848015,0.0677492567904331,0.066458413343735,0.34315809809398,0.342464582244802,0.0826493691975654,0.166503885922702,0.0435035886991798,0.0501835672983619
BD_LE_L_EI_19,BD,0.0800667245457287,0.161420029117088,0.102644752744986,0.0999123709748679,0.0788623251020891,0.475018880215537,0.473985483289712,0.0873326662158358,0.106082816662807,0.0478509383566374,0.0475463206079123
BD_LE_L_KC_19,BD,0.044696058677834,0.115327584708533,0.0759480717637568,0.0487684925453188,0.0465982887579449,0.347797114010994,0.34639756247698,0.0595938373311464,0.111925653618615,0.0285274020383911,0.0232503414485858
BD_LE_L_YH_47,BD,0.15978266022504,0.209959325986913,0.175444761916126,0.161213377660804,0.160870249682614,0.407491112479885,0.406735960145628,0.173624853148868,0.23460957336779,0.0863630824748614,0.0516972535375451
BD_LE_L_YV_15,BD,0.0497709345707757,0.125873423622342,0.0811775481306403,0.0788670457917484,0.0591392938947208,0.441139328778522,0.439452937284261,0.0504417935052754,0.0604762227694439,0.0241556495553294,0.027253455929977
